R&D Park,Beige,,,,,
Run,SAC (Leave),CEWIT,AERTC,RSS,Lot 40,SAC (Arrive)
1,8:00,8:08,8:09,8:13,8:19,8:25
2,8:30,8:38,8:39,8:43,8:49,8:55
3,9:00,9:08,9:09,9:13,9:19,9:25
4,9:30,9:38,9:39,9:43,9:49,9:55
5,10:00,10:08,10:09,10:13,10:19,10:25
6,10:30,10:38,10:39,10:43,10:49,10:55
7,11:00,11:08,11:09,11:13,11:19,11:25
8,11:30,11:38,11:39,11:43,11:49,11:55
9,12:00,12:08,12:09,12:13,12:19,12:25
10,12:30,12:38,12:39,12:43,12:49,12:55
11,13:00,13:08,13:09,13:13,13:19,13:25
12,13:30,13:38,13:39,13:43,13:49,13:55
13,14:00,14:08,14:09,14:13,14:19,14:25
14,14:30,14:38,14:39,14:43,14:49,14:55
15,15:00,15:08,15:09,15:13,15:19,15:25
16,15:30,15:38,15:39,15:43,15:49,15:55
17,16:00,16:08,16:09,16:13,16:19,16:25
18,16:30,16:38,16:39,16:43,16:49,16:55
19,17:00,17:08,17:09,17:13,17:19,17:25
20,17:30,17:38,17:39,17:43,17:49,17:55
21,18:00,18:08,18:09,18:13,18:19,18:25
22,18:30,18:38,18:39,18:43,18:49,18:55
23,19:00,19:08,19:09,19:13,19:19,19:25