Shopping Route East,Pink,,,,,,,
Run,Chapin,Point of Woods,Mendelsohn,H-Quad,SAC (Leave),Wal-Mart,Target,Stop & Shop
1,10:30,10:31,10:36,10:38,10:47,11:02,11:15,11:18
2,11:00,11:01,11:06,11:08,11:17,11:32,11:45,11:48
3,11:30,11:31,11:36,11:38,11:47,12:02,12:15,12:18
4,12:00,12:01,12:06,12:08,12:17,12:32,12:45,12:48
5,12:30,12:31,12:36,12:38,12:47,13:02,13:15,13:18
6,13:00,13:01,13:06,13:08,13:17,13:32,13:45,13:48
7,13:30,13:31,13:36,13:38,13:47,14:02,14:15,14:18
8,14:00,14:01,14:06,14:08,14:17,14:32,14:45,14:48
9,14:30,14:31,14:36,14:38,14:47,15:02,15:15,15:18
10,15:00,15:01,15:06,15:08,15:17,15:32,15:45,15:48
11,15:30,15:31,15:36,15:38,15:47,16:02,16:15,16:18
12,16:00,16:01,16:06,16:08,16:17,16:32,16:45,16:48
13,16:30,16:31,16:36,16:38,16:47,17:02,17:15,17:18
14,17:00,17:01,17:06,17:08,17:17,17:32,17:45,17:48
15,17:30,17:31,17:36,17:38,17:47,18:02,18:15,18:18